name,calories,protein_g,carbs_g,fat_g
"Cheese, feta, whole milk, crumbled",272.88399999999996,19.70782,5.58318,19.08
"Flour, almond",622.0419999999999,26.24375,16.24925,50.23
"Flour, oat, whole grain",389.125,13.16875,69.91725,6.309
"Flour, potato",360.78049999999996,8.1125,79.9422,0.9513
"Peanut butter, creamy",631.65,23.99124,22.70376,49.43
"Sesame butter, creamy",697.1376,19.7054,14.179,62.4
"Almond butter, creamy",645.456,20.78734,21.23666,53.04
"Flaxseed, ground",545.0840000000001,18.0359,34.3551,37.28
"Strawberries, raw",36.4,0.640625,7.964375,0.22
"Raspberries, raw",57.3375,1.008125,12.904375,0.1875
"Blueberries, raw",63.856300000000005,0.703125,14.571775,0.3063
"Grapes, red, seedless, raw",85.919,0.914375,20.196825,0.1638
"Grapes, green, seedless, raw",80.1025,0.89875,18.60375,0.2325
"Applesauce, unsweetened, with added vitamin C",51.6025,0.2734375,12.2615625,0.1625
"Cottage cheese, full fat, large or small curd",102.92099999999999,11.62436,4.59964,4.225
"Cream cheese, full fat, block",342.79400000000004,5.78985,4.55615,33.49
"Cream, heavy",343.31,2.017994,3.799506,35.56
"Cream, sour, full fat",196.4148,3.070694,5.555506,17.99
"Lettuce, iceberg, raw",17.10875,0.7425,3.36875,0.07375
"Lettuce, romaine, green, raw",20.77105,0.976875,4.055575,0.07125
"Lettuce, leaf, red, raw",17.5315,0.883125,3.260575,0.1063
"Lettuce, leaf, green, raw",22.046300000000002,1.09375,4.06615,0.1563
"Nuts, pine nuts, raw",688.614,15.7039,18.5921,61.27
"Nuts, almonds, whole, raw",625.75,21.45038,20.03462,51.09
"Nuts, walnuts, English, halves, raw",729.5559999999999,14.5644,10.9096,69.74
"Nuts, pecans, halves, raw",750.152,9.9587,12.6993,73.28
"Oats, whole grain, rolled, old fashioned",381.626,13.49645,68.65755,5.89
"Oats, whole grain, steel cut",381.248,12.51118,69.75082,5.8
"Pineapple, raw",60.1113,0.4609375,14.0914625,0.2113
"Cherries, sweet, dark red, raw",70.5425,1.039375,16.163125,0.1925
"Beans, snap, green, raw",39.9998,1.96875,7.41245,0.275
"Potatoes, russet, without skin, raw",83.41999999999999,2.27375,17.77125,0.36
"Potatoes, red, without skin, raw",75.5575,2.0625,16.27,0.2475
"Potatoes, gold, without skin, raw",73.47380000000001,1.8125,15.9624,0.2638
"Sweet potatoes, orange flesh, without skin, raw",78.999,1.578125,17.327875,0.375
"Celery, raw",16.6973,0.4921875,3.3165125,0.1625
"Cucumber, with peel, raw",15.9075,0.625,2.9525,0.1775
"Cabbage, green, raw",31.4275,0.96125,6.38375,0.2275
"Cabbage, red, raw",34.0538,1.2425,6.7899,0.2138
"Strawberries, raw",36.4,0.640625,7.964375,0.22
"Raspberries, raw",57.3375,1.008125,12.904375,0.1875
"Blueberries, raw",63.856300000000005,0.703125,14.571775,0.3063
"Grapes, red, seedless, raw",85.919,0.914375,20.196825,0.1638
